time,open,high,low,close,volume
2005-05-02 05:00:00+07:00,84.47,87.8,83.72,87.8,75068.0
2005-06-01 07:00:00+07:00,87.79,89.35,87.12,88.98,73234.0
2005-07-01 07:00:00+07:00,89.01,90.66,88.15,89.23,52130.0
2005-08-01 05:00:00+07:00,89.26,89.35,86.69,87.54,100086.0
2005-09-01 07:00:00+07:00,87.56,89.6,86.02,89.35,86135.0
2005-10-03 05:00:00+07:00,89.27,90.55,88.35,89.93,103876.0
2005-11-01 08:00:00+07:00,89.94,92.53,89.45,91.51,110281.0
2005-12-01 08:00:00+07:00,91.5,92.33,89.26,90.96,116032.0
2006-01-03 08:00:00+07:00,90.53,90.68,87.69,88.81,68953.0
2006-02-01 08:00:00+07:00,88.83,90.94,88.75,90.08,82722.0
2006-03-01 08:00:00+07:00,90.0,90.85,88.45,89.39,124721.0
2006-04-03 05:00:00+07:00,89.39,90.03,85.77,85.88,89943.0
2006-05-01 05:00:00+07:00,85.71,86.1,83.39,84.65,79006.0
2006-06-01 07:00:00+07:00,84.63,86.68,83.66,84.9,99320.0
2006-07-03 05:00:00+07:00,84.83,87.05,84.42,85.09,72814.0
2006-08-01 07:00:00+07:00,85.09,85.55,84.17,85.02,47861.0
2006-09-01 07:00:00+07:00,84.99,86.05,84.56,85.68,84361.0
2006-10-02 05:00:00+07:00,85.72,87.08,84.98,85.11,80299.0
2006-11-01 08:00:00+07:00,85.07,85.77,82.7,82.85,64613.0
2006-12-01 08:00:00+07:00,82.81,83.93,82.18,83.43,73940.0
2007-01-03 08:00:00+07:00,83.05,85.25,82.92,84.43,52562.0
2007-02-01 08:00:00+07:00,84.48,85.09,83.32,83.5,66977.0
2007-03-01 08:00:00+07:00,83.53,84.36,82.38,82.66,67916.0
2007-04-02 05:00:00+07:00,82.64,82.97,81.1,81.3,43519.0
2007-05-01 07:00:00+07:00,81.25,82.5,81.1,82.25,46039.0
2007-06-01 07:00:00+07:00,82.23,83.26,81.66,81.69,87436.0
2007-07-02 05:00:00+07:00,81.655,81.68,79.87,80.66,84230.0
2007-08-01 07:00:00+07:00,80.77,82.0,79.855,80.745,84347.0
2007-09-04 07:00:00+07:00,80.755,81.1,77.58,77.625,94417.0
2007-10-01 05:00:00+07:00,77.67,78.8,76.46,76.46,65328.0
2007-11-01 07:00:00+07:00,76.57,78.0,74.65,76.17,83350.0
2007-12-03 06:00:00+07:00,75.97,77.88,75.61,76.61,108243.0
2008-01-02 08:00:00+07:00,76.75,77.5,75.1,75.285,85742.0
2008-02-01 08:00:00+07:00,75.34,77.18,73.68,73.75,92308.0
2008-03-03 06:00:00+07:00,73.65,74.0,71.205,72.165,154686.0
2008-04-01 07:00:00+07:00,72.205,74.5,71.05,72.72,126211.0
2008-05-01 07:00:00+07:00,72.75,74.065,71.915,72.95,131909.0
2008-06-02 05:00:00+07:00,72.95,74.75,72.17,72.8,144997.0
2008-07-01 07:00:00+07:00,72.75,73.735,71.76,73.42,110669.0
2008-08-01 07:00:00+07:00,73.425,77.71,73.365,77.5,140335.0
2008-09-02 07:00:00+07:00,77.84,80.9,76.025,79.36,208326.0
2008-10-01 07:00:00+07:00,79.18,88.495,79.045,86.345,132853.0
2008-11-03 06:00:00+07:00,86.345,89.25,84.455,86.705,78372.0
2008-12-01 06:00:00+07:00,86.58,87.85,78.775,82.15,96651.0
2009-01-02 08:00:00+07:00,82.195,87.405,81.99,86.46,79127.0
2009-02-02 06:00:00+07:00,86.685,88.675,84.665,88.15,99409.0
2009-03-02 06:00:00+07:00,88.4,89.71,83.145,85.895,151608.0
2009-04-01 07:00:00+07:00,86.01,87.22,84.035,84.775,99177.0
2009-05-01 07:00:00+07:00,84.9,85.03,79.255,79.43,121461.0
2009-06-01 05:00:00+07:00,79.305,81.795,78.375,80.425,190380.0
2009-07-01 07:00:00+07:00,80.385,81.165,78.31,78.45,125045.0
2009-08-03 05:00:00+07:00,78.16,79.695,77.52,78.22,140293.0
2009-09-01 07:00:00+07:00,78.17,79.01,76.045,76.86,191918.0
2009-10-01 07:00:00+07:00,76.87,77.72,75.085,76.475,264572.0
2009-11-02 06:00:00+07:00,76.475,77.5,74.27,74.935,341357.0
2009-12-01 08:00:00+07:00,74.845,78.77,74.31,78.22,396932.0
2010-01-04 06:00:00+07:00,78.355,79.68,76.74,79.65,366624.0
2010-02-01 06:00:00+07:00,79.61,81.43,78.83,80.44,508665.0
2010-03-01 06:00:00+07:00,80.535,82.52,79.73,81.291,590271.0
2010-04-01 07:00:00+07:00,81.215,82.87,80.14,81.991,428763.0
2010-05-03 05:00:00+07:00,82.02,87.625,81.87,86.582,704628.0
2010-06-01 07:00:00+07:00,86.725,88.8,85.36,86.281,483992.0
2010-07-01 07:00:00+07:00,86.45,86.545,81.565,81.655,392369.0
2010-08-02 05:00:00+07:00,81.57,83.635,80.17,83.254,423171.0
2010-09-01 07:00:00+07:00,83.18,83.315,78.62,78.938,485295.0
2010-10-01 07:00:00+07:00,78.99,79.015,75.85,77.457,520761.0
2010-11-01 05:00:00+07:00,77.105,81.525,75.235,81.271,571560.0
2010-12-01 08:00:00+07:00,81.335,81.435,79.025,79.288,430271.0
2011-01-03 06:00:00+07:00,79.31,81.635,77.665,77.865,486595.0
2011-02-01 08:00:00+07:00,77.76,78.98,76.78,76.921,402626.0
2011-03-01 08:00:00+07:00,76.855,77.675,75.505,76.072,615531.0
2011-04-01 07:00:00+07:00,76.3,76.87,73.015,73.107,443282.0
2011-05-02 05:00:00+07:00,73.185,76.54,72.86,74.696,808827.0
2011-06-01 07:00:00+07:00,74.525,76.59,73.515,74.635,712165.0
2011-07-01 07:00:00+07:00,74.82,77.175,73.585,74.036,574518.0
2011-08-01 05:00:00+07:00,74.13,75.645,73.515,74.173,633099.0
2011-09-01 07:00:00+07:00,74.235,79.645,74.2,79.075,760561.0
2011-10-03 05:00:00+07:00,79.44,80.43,74.86,76.306,671442.0
2011-11-01 07:00:00+07:00,76.63,79.875,76.595,78.491,560061.0
2011-12-01 08:00:00+07:00,78.485,81.315,78.06,80.522,391086.0
2012-01-03 08:00:00+07:00,80.155,82.045,78.855,79.417,451793.0
2012-02-01 08:00:00+07:00,79.48,80.24,78.12,78.794,542468.0
2012-03-01 08:00:00+07:00,78.8,81.16,78.69,79.138,542530.0
2012-04-02 05:00:00+07:00,79.035,80.365,78.685,78.848,404540.0
2012-05-01 07:00:00+07:00,78.875,83.295,78.665,83.129,667645.0
2012-06-01 07:00:00+07:00,83.21,83.67,81.39,81.753,670740.0
2012-07-02 05:00:00+07:00,81.73,84.245,81.655,82.71,442088.0
2012-08-01 07:00:00+07:00,82.78,83.61,80.96,81.216,414698.0
2012-09-04 07:00:00+07:00,81.235,81.675,78.725,80.025,416413.0
