time,open,high,low,close,volume
2005-05-02 05:00:00+07:00,1.903,1.9046,1.8092,1.8166,553086.0
2005-06-01 05:00:00+07:00,1.816,1.8399,1.7829,1.7863,626241.0
2005-07-01 05:00:00+07:00,1.7868,1.7872,1.7242,1.7549,639977.0
2005-08-01 05:00:00+07:00,1.754,1.816,1.7517,1.8018,733722.0
2005-09-01 05:00:00+07:00,1.8025,1.8492,1.7548,1.7603,813840.0
2005-10-03 05:00:00+07:00,1.76,1.7894,1.7377,1.7693,887475.0
2005-11-01 06:00:00+07:00,1.7675,1.7788,1.7046,1.7289,1071434.0
2005-12-01 06:00:00+07:00,1.7289,1.7812,1.7128,1.7187,964428.0
2006-01-02 06:00:00+07:00,1.7188,1.7938,1.7186,1.7802,1072726.0
2006-02-01 06:00:00+07:00,1.7785,1.7818,1.7283,1.7545,1060877.0
2006-03-01 06:00:00+07:00,1.7537,1.7626,1.7248,1.738,1305768.0
2006-04-03 05:00:00+07:00,1.7382,1.8272,1.7265,1.8228,1203982.0
2006-05-01 05:00:00+07:00,1.8244,1.9035,1.8218,1.8697,1549330.0
2006-06-01 05:00:00+07:00,1.8718,1.8885,1.8124,1.8508,1014355.0
2006-07-03 05:00:00+07:00,1.8512,1.8711,1.82,1.87,1028017.0
2006-08-01 05:00:00+07:00,1.8694,1.916,1.8646,1.9052,1257058.0
2006-09-01 05:00:00+07:00,1.9047,1.959,1.8604,1.873,1291048.0
2006-10-02 05:00:00+07:00,1.8755,1.9108,1.8529,1.9082,1384657.0
2006-11-01 06:00:00+07:00,1.9086,1.9702,1.884,1.9662,1596462.0
2006-12-01 06:00:00+07:00,1.9658,1.9852,1.944,1.9572,1641250.0
2007-01-01 06:00:00+07:00,1.968,1.9914,1.9265,1.9638,1634221.0
2007-02-01 06:00:00+07:00,1.9643,1.9749,1.9385,1.9637,1560238.0
2007-03-01 06:00:00+07:00,1.9634,1.9722,1.9183,1.9669,1823717.0
2007-04-02 05:00:00+07:00,1.9684,2.0128,1.9587,1.9986,1326514.0
2007-05-01 05:00:00+07:00,1.999,2.007,1.9673,1.9794,1697700.0
2007-06-01 05:00:00+07:00,1.9802,2.0064,1.9623,2.0055,1719441.0
2007-07-02 05:00:00+07:00,2.0056,2.0636,2.0036,2.0333,1944903.0
2007-08-01 05:00:00+07:00,2.0285,2.045,1.9638,2.0161,1946571.0
2007-09-03 05:00:00+07:00,2.0175,2.0454,1.9831,2.0419,1504762.0
2007-10-01 05:00:00+07:00,2.0443,2.0796,2.0214,2.0785,1727683.0
2007-11-01 05:00:00+07:00,2.0776,2.1138,2.0334,2.0558,1853615.0
2007-12-03 06:00:00+07:00,2.0533,2.0672,1.9712,1.9785,1049188.0
2008-01-01 06:00:00+07:00,1.981,1.9904,1.928,1.9848,1535390.0
2008-02-01 06:00:00+07:00,1.9834,1.9949,1.9331,1.9863,1433940.0
2008-03-03 06:00:00+07:00,1.9875,2.0387,1.958,1.9712,1676729.0
2008-04-01 05:00:00+07:00,1.9706,1.9966,1.9509,1.9829,1977672.0
2008-05-01 05:00:00+07:00,1.982,1.9853,1.9313,1.9788,1709343.0
2008-06-02 05:00:00+07:00,1.9734,1.9866,1.9276,1.9819,1863428.0
2008-07-01 05:00:00+07:00,1.9817,2.0074,1.9546,1.9763,1983350.0
2008-08-01 05:00:00+07:00,1.9774,1.9779,1.8152,1.8156,1796564.0
2008-09-01 05:00:00+07:00,1.8169,1.8624,1.7426,1.784,1925762.0
2008-10-01 05:00:00+07:00,1.788,1.7921,1.5224,1.6106,1578672.0
2008-11-03 06:00:00+07:00,1.6032,1.6363,1.4551,1.5371,1229149.0
