time,open,high,low,close,volume
1985-06-03 04:00:00+07:00,1.2945,1.3095,1.2565,1.3095,0.0
1985-07-01 04:00:00+07:00,1.305,1.4278,1.304,1.411,0.0
1985-08-01 04:00:00+07:00,1.381,1.4075,1.338,1.391,0.0
1985-09-02 04:00:00+07:00,1.369,1.4375,1.3045,1.4085,0.0
1985-10-01 04:00:00+07:00,1.4105,1.441,1.4075,1.4405,0.0
1985-11-01 05:00:00+07:00,1.441,1.489,1.411,1.489,0.0
1985-12-02 05:00:00+07:00,1.4875,1.4875,1.415,1.439,0.0
1986-01-01 05:00:00+07:00,1.446,1.4549,1.3808,1.41,0.0
1986-02-03 05:00:00+07:00,1.3838,1.496,1.3783,1.442,0.0
1986-03-03 05:00:00+07:00,1.4395,1.519,1.432,1.4675,0.0
1986-04-01 05:00:00+07:00,1.467,1.559,1.441,1.5355,0.0
1986-05-01 04:00:00+07:00,1.536,1.554,1.471,1.4725,0.0
1986-06-02 04:00:00+07:00,1.472,1.5435,1.4645,1.5435,0.0
1986-07-01 04:00:00+07:00,1.543,1.552,1.4615,1.4935,0.0
1986-08-01 04:00:00+07:00,1.495,1.5065,1.4655,1.491,0.0
1986-09-01 04:00:00+07:00,1.49,1.507,1.428,1.4435,0.0
1986-10-01 04:00:00+07:00,1.443,1.4475,1.3945,1.406,0.0
1986-11-03 05:00:00+07:00,1.4055,1.4425,1.4055,1.434,0.0
1986-12-01 05:00:00+07:00,1.4355,1.488,1.4155,1.4865,0.0
1987-01-01 05:00:00+07:00,1.4865,1.5475,1.464,1.512,0.0
1987-02-02 05:00:00+07:00,1.512,1.55,1.496,1.548,0.0
1987-03-02 05:00:00+07:00,1.548,1.6225,1.5475,1.6055,0.0
1987-04-01 05:00:00+07:00,1.605,1.671,1.588,1.661,0.0
1987-05-01 04:00:00+07:00,1.661,1.6895,1.6055,1.63,0.0
1987-06-01 04:00:00+07:00,1.627,1.669,1.587,1.613,0.0
1987-07-01 04:00:00+07:00,1.6135,1.638,1.588,1.5905,0.0
1987-08-03 04:00:00+07:00,1.59,1.635,1.562,1.6285,0.0
1987-09-01 04:00:00+07:00,1.629,1.664,1.621,1.6245,0.0
1987-10-01 04:00:00+07:00,1.6245,1.732,1.613,1.7215,0.0
1987-11-02 05:00:00+07:00,1.723,1.834,1.721,1.8265,0.0
1987-12-01 05:00:00+07:00,1.826,1.8875,1.783,1.887,0.0
1988-01-01 05:00:00+07:00,1.887,1.893,1.7575,1.7655,0.0
1988-02-01 05:00:00+07:00,1.763,1.7755,1.727,1.774,0.0
1988-03-01 05:00:00+07:00,1.774,1.8885,1.7645,1.8835,0.0
1988-04-01 05:00:00+07:00,1.884,1.9055,1.8345,1.876,0.0
1988-05-02 04:00:00+07:00,1.876,1.894,1.8345,1.835,0.0
1988-06-01 04:00:00+07:00,1.8345,1.8365,1.695,1.711,0.0
1988-07-01 04:00:00+07:00,1.7115,1.755,1.6565,1.7085,0.0
1988-08-01 04:00:00+07:00,1.709,1.7345,1.671,1.684,0.0
1988-09-01 04:00:00+07:00,1.6845,1.7105,1.659,1.692,0.0
1988-10-03 04:00:00+07:00,1.691,1.782,1.6895,1.768,0.0
1988-11-01 05:00:00+07:00,1.767,1.8535,1.7565,1.853,0.0
1988-12-01 05:00:00+07:00,1.8525,1.872,1.7815,1.8115,0.0
1989-01-02 05:00:00+07:00,1.8115,1.8305,1.7465,1.752,0.0
1989-02-01 05:00:00+07:00,1.7515,1.782,1.7285,1.7425,0.0
1989-03-01 05:00:00+07:00,1.7425,1.747,1.675,1.686,0.0
1989-04-03 04:00:00+07:00,1.682,1.721,1.6695,1.686,0.0
1989-05-01 04:00:00+07:00,1.685,1.689,1.5525,1.571,0.0
1989-06-01 04:00:00+07:00,1.5705,1.6055,1.4935,1.5515,0.0
1989-07-03 04:00:00+07:00,1.5495,1.667,1.545,1.6645,0.0
1989-08-01 04:00:00+07:00,1.664,1.67,1.555,1.569,0.0
1989-09-01 04:00:00+07:00,1.5685,1.6305,1.533,1.6195,0.0
1989-10-02 04:00:00+07:00,1.619,1.626,1.538,1.579,0.0
1989-11-01 05:00:00+07:00,1.579,1.5925,1.555,1.5705,0.0
1989-12-01 05:00:00+07:00,1.5635,1.6325,1.5625,1.614,0.0
1990-01-01 05:00:00+07:00,1.6195,1.6882,1.606,1.6805,0.0
1990-02-01 05:00:00+07:00,1.6787,1.7165,1.677,1.6815,0.0
1990-03-01 05:00:00+07:00,1.6735,1.6764,1.588,1.647,0.0
1990-04-02 04:00:00+07:00,1.6235,1.6488,1.621,1.6415,0.0
1990-05-01 04:00:00+07:00,1.6365,1.7071,1.6355,1.6775,0.0
1990-06-01 04:00:00+07:00,1.679,1.7472,1.667,1.7445,0.0
1990-07-02 04:00:00+07:00,1.744,1.8653,1.744,1.8625,0.0
1990-08-01 04:00:00+07:00,1.8585,1.9595,1.8305,1.9125,0.0
1990-09-03 04:00:00+07:00,1.9205,1.9245,1.8365,1.8775,0.0
1990-10-01 04:00:00+07:00,1.8805,1.9875,1.8795,1.9435,0.0
1990-11-01 05:00:00+07:00,1.9335,1.993,1.9255,1.9435,0.0
1990-12-03 05:00:00+07:00,1.948,1.9561,1.864,1.9295,0.0
1991-01-01 05:00:00+07:00,1.94,1.9805,1.885,1.967,0.0
1991-02-01 05:00:00+07:00,1.9655,2.005,1.906,1.912,0.0
1991-03-01 05:00:00+07:00,1.91,1.912,1.7235,1.7405,0.0
1991-04-01 05:00:00+07:00,1.7395,1.801,1.6645,1.7335,0.0
1991-05-01 04:00:00+07:00,1.731,1.7605,1.691,1.702,0.0
1991-06-03 04:00:00+07:00,1.696,1.7185,1.6035,1.619,0.0
1991-07-01 04:00:00+07:00,1.618,1.7006,1.5985,1.6855,0.0
1991-08-01 04:00:00+07:00,1.684,1.7222,1.6145,1.6785,0.0
1991-09-02 04:00:00+07:00,1.681,1.7555,1.6805,1.747,0.0
1991-10-01 04:00:00+07:00,1.7465,1.7586,1.6905,1.742,0.0
1991-11-01 05:00:00+07:00,1.7415,1.8065,1.7345,1.7675,0.0
1991-12-02 05:00:00+07:00,1.775,1.8903,1.764,1.8682,0.0
1992-01-01 05:00:00+07:00,1.8721,1.889,1.7424,1.7875,0.0
1992-02-03 05:00:00+07:00,1.7902,1.8405,1.7305,1.7585,0.0
1992-03-02 05:00:00+07:00,1.7482,1.7645,1.6975,1.736,0.0
1992-04-01 05:00:00+07:00,1.736,1.7811,1.7178,1.7782,0.0
1992-05-01 04:00:00+07:00,1.779,1.8435,1.7752,1.8285,0.0
1992-06-01 04:00:00+07:00,1.8294,1.9108,1.804,1.9032,0.0
1992-07-01 04:00:00+07:00,1.9035,1.9592,1.888,1.927,0.0
1992-08-03 04:00:00+07:00,1.925,2.0005,1.9004,1.9905,0.0
1992-09-01 04:00:00+07:00,1.9905,2.01,1.683,1.786,0.0
1992-10-01 04:00:00+07:00,1.785,1.785,1.5535,1.5568,0.0
1992-11-02 05:00:00+07:00,1.5536,1.5685,1.502,1.516,0.0
1992-12-01 05:00:00+07:00,1.516,1.611,1.4954,1.51,0.0
1993-01-01 05:00:00+07:00,1.51,1.568,1.4835,1.4858,0.0
1993-02-01 05:00:00+07:00,1.476,1.4777,1.4068,1.4265,0.0
1993-03-01 05:00:00+07:00,1.4225,1.5155,1.4214,1.5135,0.0
1993-04-01 05:00:00+07:00,1.512,1.5973,1.5074,1.5732,0.0
1993-05-03 04:00:00+07:00,1.5704,1.59,1.5106,1.5621,0.0
1993-06-01 04:00:00+07:00,1.5621,1.5706,1.4645,1.4911,0.0
1993-07-01 04:00:00+07:00,1.4911,1.5301,1.4691,1.4811,0.0
1993-08-02 04:00:00+07:00,1.4811,1.5231,1.4511,1.4918,0.0
1993-09-01 04:00:00+07:00,1.4918,1.5616,1.4866,1.4961,0.0
1993-10-01 04:00:00+07:00,1.4961,1.5461,1.4706,1.4841,0.0
1993-11-01 05:00:00+07:00,1.4841,1.4981,1.4644,1.4856,0.0
1993-12-01 05:00:00+07:00,1.4856,1.5110999999999999,1.4731,1.4791,0.0
1994-01-03 05:00:00+07:00,1.4791,1.5116,1.4751,1.5076,0.0
1994-02-01 05:00:00+07:00,1.5076,1.5081,1.4551,1.4881,0.0
1994-03-01 05:00:00+07:00,1.4881,1.5056,1.4741,1.4831,0.0
1994-04-01 05:00:00+07:00,1.4831,1.5227,1.4617,1.5166,0.0
1994-05-02 04:00:00+07:00,1.5166,1.5211,1.4861,1.5116,0.0
1994-06-01 04:00:00+07:00,1.5116,1.5596,1.5026,1.5438,0.0
1994-07-01 04:00:00+07:00,1.5438,1.5761,1.5201,1.5501,0.0
1994-08-01 04:00:00+07:00,1.5501,1.5604,1.5261,1.5341,0.0
1994-09-01 04:00:00+07:00,1.5341,1.587,1.5331,1.5794,0.0
1994-10-03 04:00:00+07:00,1.5794,1.6406,1.5746,1.6356,0.0
1994-11-01 05:00:00+07:00,1.6356,1.6443,1.5597,1.5651,0.0
1994-12-01 05:00:00+07:00,1.5651,1.5761,1.5391,1.5661,0.0
1995-01-02 05:00:00+07:00,1.5661,1.602,1.5486,1.5801,0.0
1995-02-01 05:00:00+07:00,1.5801,1.5966,1.5503,1.5836,0.0
1995-03-01 05:00:00+07:00,1.5836,1.6576,1.5646,1.6244,0.0
1995-04-03 04:00:00+07:00,1.6244,1.6276,1.5866,1.6081,0.0
1995-05-01 04:00:00+07:00,1.6081,1.6237,1.5477,1.5861,0.0
1995-06-01 04:00:00+07:00,1.5861,1.6166,1.5706,1.5922,0.0
1995-07-03 04:00:00+07:00,1.5922,1.6058,1.5856,1.5964,0.0
1995-08-01 04:00:00+07:00,1.5964,1.6116,1.5303,1.5492,0.0
1995-09-01 04:00:00+07:00,1.5492,1.5986,1.5426,1.5823,0.0
1995-10-02 04:00:00+07:00,1.5823,1.595,1.5672,1.5793,0.0
1995-11-01 05:00:00+07:00,1.5793,1.5862,1.5254,1.5341,0.0
1995-12-01 05:00:00+07:00,1.5341,1.5623,1.5218,1.5526,0.0
1996-01-01 05:00:00+07:00,1.5526,1.5614,1.4976,1.5146,0.0
1996-02-01 05:00:00+07:00,1.5146,1.555,1.5121,1.5316,0.0
1996-03-01 05:00:00+07:00,1.5316,1.5402,1.5158,1.5252999999999999,0.0
1996-04-01 05:00:00+07:00,1.5252999999999999,1.5328,1.4998,1.5058,0.0
1996-05-01 04:00:00+07:00,1.5058,1.5541,1.4894,1.5527,0.0
1996-06-03 04:00:00+07:00,1.5527,1.5567,1.5283,1.5517,0.0
1996-07-01 04:00:00+07:00,1.5517,1.5675,1.5376,1.5574,0.0
1996-08-01 04:00:00+07:00,1.5574,1.5648,1.5349,1.5611,0.0
1996-09-02 04:00:00+07:00,1.5611,1.5718,1.5495,1.5657,0.0
1996-10-01 04:00:00+07:00,1.5657,1.6360999999999999,1.5613,1.6268,0.0
1996-11-01 05:00:00+07:00,1.6268,1.6909,1.626,1.683,0.0
1996-12-02 05:00:00+07:00,1.683,1.7167999999999999,1.6106,1.7126,0.0
1997-01-01 05:00:00+07:00,1.7126,1.7142,1.5955,1.5984,0.0
1997-02-03 05:00:00+07:00,1.5984,1.6464,1.5957,1.6273,0.0
1997-03-03 05:00:00+07:00,1.6273,1.6475,1.5856999999999999,1.6376,0.0
1997-04-01 05:00:00+07:00,1.6376,1.655,1.6171,1.6243,0.0
1997-05-01 04:00:00+07:00,1.6243,1.6605,1.6091,1.6429,0.0
1997-06-02 04:00:00+07:00,1.6429,1.6731,1.6201,1.6655,0.0
1997-07-01 04:00:00+07:00,1.6655,1.6987,1.6211,1.6413,0.0
1997-08-01 04:00:00+07:00,1.6413,1.6433,1.5674,1.6134,0.0
1997-09-01 04:00:00+07:00,1.6134,1.6342,1.5776999999999999,1.6178,0.0
1997-10-01 04:00:00+07:00,1.6178,1.6798,1.599,1.6784,0.0
1997-11-03 05:00:00+07:00,1.6784,1.7147999999999999,1.6675,1.6893,0.0
1997-12-01 05:00:00+07:00,1.6893,1.6908,1.6276,1.6524,0.0
