time,open,high,low,close,volume,pe_ratio
2017-12-01 15:00:00+07:00,20.41,20.7425,20.094999,20.635,0.0,
2018-01-02 15:00:00+07:00,20.440001,24.5725,20.440001,24.02,0.0,
2018-02-01 15:00:00+07:00,24.2875,25.16,20.924999,24.610001,0.0,
2018-03-01 15:00:00+07:00,23.815001,24.475,20.362499,20.9025,0.0,
2018-04-03 14:00:00+07:00,20.672501,22.65,20.672501,21.389999,0.0,
2018-05-01 14:00:00+07:00,20.5525,22.9825,19.719999,20.1675,350.0,
2018-06-01 14:00:00+07:00,20.377501,21.6,18.9375,19.8025,100.0,
2018-07-02 14:00:00+07:00,18.942499,23.945,18.8125,23.1625,1115.0,
2018-08-01 14:00:00+07:00,23.372499,24.360001,22.565001,22.5725,245.0,
2018-09-03 14:00:00+07:00,22.8025,24.3225,22.035,22.41,0.0,
2018-10-01 14:00:00+07:00,22.327499,23.3675,18.684999,20.577499,30.0,
2018-11-01 15:00:00+07:00,20.68,21.834999,19.6175,20.83,0.0,
2018-12-03 15:00:00+07:00,21.629999,21.629999,14.8825,16.372499,0.0,
2019-01-02 15:00:00+07:00,16.6325,18.7675,16.397499,18.245001,0.0,
2019-02-01 15:00:00+07:00,18.799999,19.5425,17.305,18.6675,0.0,
2019-03-01 15:00:00+07:00,18.684999,19.875,16.647499,17.3375,0.0,
2019-04-01 14:00:00+07:00,18.33,23.16,18.33,22.7425,120.0,
2019-05-01 14:00:00+07:00,22.9725,23.057501,19.2325,19.2325,630.0,
2019-06-03 14:00:00+07:00,19.15,20.995001,19.15,20.995001,600.0,
2019-07-01 14:00:00+07:00,21.692499,23.17,21.6625,22.625,690.0,
2019-08-01 14:00:00+07:00,23.01,23.01,18.645,20.17,760.0,
2019-09-02 14:00:00+07:00,20.025,24.217501,19.602501,23.17,0.0,
2019-10-01 14:00:00+07:00,22.932501,27.145,21.135,26.035,40.0,
2019-11-01 15:00:00+07:00,27.264999,29.209999,27.264999,29.209999,0.0,
2019-12-02 15:00:00+07:00,29.004999,32.82,27.775,32.115002,17.0,
2020-01-02 15:00:00+07:00,32.834999,33.150002,29.305,30.235001,454.0,
2020-02-03 15:00:00+07:00,30.440001,32.060001,22.262501,22.262501,29.0,
2020-03-02 15:00:00+07:00,23.0725,23.0725,9.27375,11.3575,420.0,
2020-04-01 14:00:00+07:00,11.695,15.0,10.1,12.8175,1334.0,
2020-05-01 14:00:00+07:00,11.975,14.065,9.85625,13.1275,2984.0,
2020-06-01 14:00:00+07:00,13.4225,17.565001,11.5175,11.775,4801.0,
2020-07-01 14:00:00+07:00,11.82,13.6975,11.17,12.3325,1073.0,
2020-08-03 14:00:00+07:00,12.375,14.8,12.195,13.89,224.0,
2020-09-01 14:00:00+07:00,13.49,14.255,11.1325,12.235,1992.0,
2020-10-01 14:00:00+07:00,12.41,14.53,12.395,12.5925,2854.0,
2020-11-02 15:00:00+07:00,13.3425,19.397499,13.3425,18.285,33.0,
2020-12-01 15:00:00+07:00,18.385,20.32,18.282499,20.23,970.0,
2021-01-04 15:00:00+07:00,20.407499,26.360001,20.247499,21.8025,3071.0,
2021-02-01 15:00:00+07:00,21.700001,31.0,21.51,28.629999,1585.0,
2021-03-01 15:00:00+07:00,28.76,33.18,28.135,29.645,573.0,
2021-04-01 14:00:00+07:00,29.709999,31.5,28.43,30.094999,271.0,
2021-05-04 14:00:00+07:00,30.185961,34.534458,29.620001,34.224998,379.0,
2021-06-01 14:00:00+07:00,34.30051,35.490002,27.98,30.690001,906.0,
2021-07-01 14:00:00+07:00,31.0,31.745001,27.24,29.445,944.0,
2021-08-02 14:00:00+07:00,29.74,33.529999,29.09272,32.665001,579.0,
2021-09-01 14:00:00+07:00,32.724091,36.0,28.719999,34.310001,511.0,
