time,open,high,low,close
2005-04-01 07:00:00+07:00,-140010000.0,-140010000.0,-140010000.0,-140010000.0
2005-05-01 07:00:00+07:00,-74490000.0,-74490000.0,-74490000.0,-74490000.0
2005-06-01 07:00:00+07:00,-513240000.0,-513240000.0,-513240000.0,-513240000.0
2005-07-01 07:00:00+07:00,-624150000.0,-624150000.0,-624150000.0,-624150000.0
2005-08-01 07:00:00+07:00,-1100850000.0,-1100850000.0,-1100850000.0,-1100850000.0
2005-09-01 07:00:00+07:00,-971090000.0,-971090000.0,-971090000.0,-971090000.0
2005-10-01 07:00:00+07:00,-895490000.0,-895490000.0,-895490000.0,-895490000.0
2005-11-01 07:00:00+07:00,-1233430000.0,-1233430000.0,-1233430000.0,-1233430000.0
2005-12-01 07:00:00+07:00,-311160000.0,-311160000.0,-311160000.0,-311160000.0
2006-01-01 07:00:00+07:00,-893770000.0,-893770000.0,-893770000.0,-893770000.0
2006-02-01 07:00:00+07:00,-373810000.0,-373810000.0,-373810000.0,-373810000.0
2006-03-01 07:00:00+07:00,69120000.0,69120000.0,69120000.0,69120000.0
2006-04-01 07:00:00+07:00,33330000.0,33330000.0,33330000.0,33330000.0
2006-05-01 07:00:00+07:00,-115520000.0,-115520000.0,-115520000.0,-115520000.0
2006-06-01 07:00:00+07:00,-192240000.0,-192240000.0,-192240000.0,-192240000.0
2006-07-01 07:00:00+07:00,-693470000.0,-693470000.0,-693470000.0,-693470000.0
2006-08-01 07:00:00+07:00,-951360000.0,-951360000.0,-951360000.0,-951360000.0
2006-09-01 07:00:00+07:00,-625470000.0,-625470000.0,-625470000.0,-625470000.0
2006-10-01 07:00:00+07:00,-1173140000.0,-1173140000.0,-1173140000.0,-1173140000.0
2006-11-01 07:00:00+07:00,-820000000.0,-820000000.0,-820000000.0,-820000000.0
2006-12-01 07:00:00+07:00,-345810000.0,-345810000.0,-345810000.0,-345810000.0
2007-01-01 07:00:00+07:00,-824900000.0,-824900000.0,-824900000.0,-824900000.0
2007-02-01 07:00:00+07:00,-127440000.0,-127440000.0,-127440000.0,-127440000.0
2007-03-01 07:00:00+07:00,57300000.0,57300000.0,57300000.0,57300000.0
2007-04-01 07:00:00+07:00,-216210000.0,-216210000.0,-216210000.0,-216210000.0
2007-05-01 07:00:00+07:00,7990000.0,7990000.0,7990000.0,7990000.0
2007-06-01 07:00:00+07:00,-518360000.0,-518360000.0,-518360000.0,-518360000.0
2007-07-01 07:00:00+07:00,-807540000.0,-807540000.0,-807540000.0,-807540000.0
2007-08-01 07:00:00+07:00,-947140000.0,-947140000.0,-947140000.0,-947140000.0
2007-09-01 07:00:00+07:00,-572050000.0,-572050000.0,-572050000.0,-572050000.0
2007-10-01 07:00:00+07:00,-774000000.0,-774000000.0,-774000000.0,-774000000.0
2007-11-01 07:00:00+07:00,-627930000.0,-627930000.0,-627930000.0,-627930000.0
2007-12-01 07:00:00+07:00,38510000.0,38510000.0,38510000.0,38510000.0
2008-01-01 07:00:00+07:00,-310650000.0,-310650000.0,-310650000.0,-310650000.0
2008-02-01 07:00:00+07:00,242690000.0,242690000.0,242690000.0,242690000.0
2008-03-01 07:00:00+07:00,-43140000.0,-43140000.0,-43140000.0,-43140000.0
2008-04-01 07:00:00+07:00,-292590000.0,-292590000.0,-292590000.0,-292590000.0
2008-05-01 07:00:00+07:00,-169480000.0,-169480000.0,-169480000.0,-169480000.0
2008-06-01 07:00:00+07:00,-215050000.0,-215050000.0,-215050000.0,-215050000.0
2008-07-01 07:00:00+07:00,-797120000.0,-797120000.0,-797120000.0,-797120000.0
2008-08-01 07:00:00+07:00,-847770000.0,-847770000.0,-847770000.0,-847770000.0
2008-09-01 07:00:00+07:00,-1251920000.0,-1251920000.0,-1251920000.0,-1251920000.0
2008-10-01 07:00:00+07:00,-994160000.0,-994160000.0,-994160000.0,-994160000.0
2008-11-01 07:00:00+07:00,-593650000.0,-593650000.0,-593650000.0,-593650000.0
2008-12-01 07:00:00+07:00,-341000000.0,-341000000.0,-341000000.0,-341000000.0
2009-01-01 07:00:00+07:00,-101910000.0,-101910000.0,-101910000.0,-101910000.0
2009-02-01 07:00:00+07:00,482520000.0,482520000.0,482520000.0,482520000.0
2009-03-01 07:00:00+07:00,437730000.0,437730000.0,437730000.0,437730000.0
2009-04-01 07:00:00+07:00,322040000.0,322040000.0,322040000.0,322040000.0
2009-05-01 07:00:00+07:00,906070000.0,906070000.0,906070000.0,906070000.0
2009-06-01 07:00:00+07:00,-331090000.0,-331090000.0,-331090000.0,-331090000.0
2009-07-01 07:00:00+07:00,-177580000.0,-177580000.0,-177580000.0,-177580000.0
2009-08-01 07:00:00+07:00,-716620000.0,-716620000.0,-716620000.0,-716620000.0
2009-09-01 07:00:00+07:00,-561490000.0,-561490000.0,-561490000.0,-561490000.0
2009-10-01 07:00:00+07:00,-501480000.0,-501480000.0,-501480000.0,-501480000.0
2009-11-01 07:00:00+07:00,-280400000.0,-280400000.0,-280400000.0,-280400000.0
2009-12-01 07:00:00+07:00,-26400000.0,-26400000.0,-26400000.0,-26400000.0
2010-01-01 07:00:00+07:00,268110000.0,268110000.0,268110000.0,268110000.0
2010-02-01 07:00:00+07:00,327830000.0,327830000.0,327830000.0,327830000.0
2010-03-01 07:00:00+07:00,607540000.0,607540000.0,607540000.0,607540000.0
2010-04-01 07:00:00+07:00,660370000.0,660370000.0,660370000.0,660370000.0
2010-05-01 07:00:00+07:00,769530000.0,769530000.0,769530000.0,769530000.0
2010-06-01 07:00:00+07:00,220730000.0,220730000.0,220730000.0,220730000.0
2010-07-01 07:00:00+07:00,-185990000.0,-185990000.0,-185990000.0,-185990000.0
2010-08-01 07:00:00+07:00,-430430000.0,-430430000.0,-430430000.0,-430430000.0
2010-09-01 07:00:00+07:00,-454640000.0,-454640000.0,-454640000.0,-454640000.0
2010-10-01 07:00:00+07:00,-219940000.0,-219940000.0,-219940000.0,-219940000.0
2010-11-01 07:00:00+07:00,-176580000.0,-176580000.0,-176580000.0,-176580000.0
2010-12-01 07:00:00+07:00,-217730000.0,-217730000.0,-217730000.0,-217730000.0
2011-01-01 07:00:00+07:00,8540000.0,8540000.0,8540000.0,8540000.0
2011-02-01 07:00:00+07:00,183840000.0,183840000.0,183840000.0,183840000.0
2011-03-01 07:00:00+07:00,582980000.0,582980000.0,582980000.0,582980000.0
2011-04-01 07:00:00+07:00,1157640000.0,1157640000.0,1157640000.0,1157640000.0
2011-05-01 07:00:00+07:00,550200000.0,550200000.0,550200000.0,550200000.0
2011-06-01 07:00:00+07:00,201400000.0,201400000.0,201400000.0,201400000.0
