time,open,high,low,close,volume
2005-05-02 05:00:00+07:00,0.838,0.8435,0.8009,0.8014,518640.0
2005-06-01 05:00:00+07:00,0.8018,0.8059,0.7813,0.785,635209.0
2005-07-01 05:00:00+07:00,0.7827,0.7915,0.768,0.7793,546076.0
2005-08-01 05:00:00+07:00,0.7792,0.8066,0.7788,0.7984,595568.0
2005-09-01 05:00:00+07:00,0.799,0.8178,0.775,0.7772,713222.0
2005-10-03 05:00:00+07:00,0.7785,0.7943,0.7691,0.7796,764717.0
2005-11-01 06:00:00+07:00,0.7787,0.7871,0.7548,0.762,790881.0
2005-12-01 06:00:00+07:00,0.7615,0.7853,0.7557,0.7656,692659.0
2006-01-02 06:00:00+07:00,0.766,0.8001,0.765,0.7854,852624.0
2006-02-01 06:00:00+07:00,0.7851,0.7859,0.7564,0.7632,776277.0
2006-03-01 06:00:00+07:00,0.7636,0.7845,0.7586,0.7735,974521.0
2006-04-03 05:00:00+07:00,0.7734,0.8122,0.7672,0.8097,834523.0
2006-05-01 05:00:00+07:00,0.8112,0.8421,0.8073,0.8221,1057798.0
2006-06-01 05:00:00+07:00,0.8224,0.8335,0.8055,0.8241,827669.0
2006-07-03 05:00:00+07:00,0.8242,0.8268,0.7987,0.8173,821575.0
2006-08-01 05:00:00+07:00,0.8171,0.8249,0.8065,0.814,1011060.0
2006-09-01 05:00:00+07:00,0.8139,0.8204,0.7973,0.806,909005.0
2006-10-02 05:00:00+07:00,0.8063,0.8122,0.7879,0.8081,917703.0
2006-11-01 06:00:00+07:00,0.807,0.8375,0.7982,0.836,1110660.0
2006-12-01 06:00:00+07:00,0.8358,0.8428,0.8206,0.8254,920075.0
2007-01-01 06:00:00+07:00,0.8304,0.8325,0.7979,0.8073,993156.0
2007-02-01 06:00:00+07:00,0.8067,0.8249,0.7991,0.8225,1051104.0
2007-03-01 06:00:00+07:00,0.8215,0.8377,0.8099,0.8283,1212196.0
2007-04-02 05:00:00+07:00,0.8292,0.8375,0.8188,0.8314,958555.0
2007-05-01 05:00:00+07:00,0.8314,0.8332,0.8128,0.8173,1097764.0
2007-06-01 05:00:00+07:00,0.8173,0.8241,0.8021,0.8232,1279937.0
2007-07-02 05:00:00+07:00,0.823,0.84,0.8218,0.8346,1659678.0
2007-08-01 05:00:00+07:00,0.8358,0.8491,0.8205,0.8297,1578485.0
2007-09-03 05:00:00+07:00,0.8288,0.865,0.8238,0.8645,945525.0
2007-10-01 05:00:00+07:00,0.8644,0.868,0.8447,0.8671,1129033.0
2007-11-01 05:00:00+07:00,0.8661,0.92,0.8616,0.8852,1118929.0
2007-12-03 06:00:00+07:00,0.8848,0.8974,0.8641,0.8838,728709.0
2008-01-01 06:00:00+07:00,0.8916,0.9304,0.8902,0.9256,1089243.0
2008-02-01 06:00:00+07:00,0.9256,0.962,0.9006,0.959,1075816.0
2008-03-03 06:00:00+07:00,0.9599,1.04,0.9565,1.0066,1172883.0
2008-04-01 05:00:00+07:00,1.0065,1.0116,0.9578,0.9676,1349438.0
2008-05-01 05:00:00+07:00,0.9667,0.979,0.941,0.9593,1436691.0
2008-06-02 05:00:00+07:00,0.9594,0.9878,0.9489,0.982,1660283.0
2008-07-01 05:00:00+07:00,0.9799,0.9993,0.9508,0.9546,1748591.0
2008-08-01 05:00:00+07:00,0.9547,0.9588,0.9021,0.9063,1327070.0
2008-09-01 05:00:00+07:00,0.9096,0.9386,0.8758,0.8963,1483733.0
2008-10-01 05:00:00+07:00,0.8986,0.9036,0.8525,0.8664,1041159.0
2008-11-03 06:00:00+07:00,0.865,0.872,0.8134,0.8241,570089.0
2008-12-01 06:00:00+07:00,0.8238,0.9662,0.8161,0.9364,592051.0
2009-01-01 06:00:00+07:00,0.9416,0.942,0.8541,0.8607,677198.0
2009-02-02 06:00:00+07:00,0.86,0.8778,0.8416,0.856,623269.0
2009-03-02 06:00:00+07:00,0.8539,0.898,0.8356,0.8789,709016.0
2009-04-01 05:00:00+07:00,0.8794,0.8908,0.8523,0.8783,641176.0
2009-05-01 05:00:00+07:00,0.8771,0.9385,0.8757,0.9365,728149.0
2009-06-01 05:00:00+07:00,0.9368,0.9443,0.9075,0.922,1002284.0
2009-07-01 05:00:00+07:00,0.9213,0.9425,0.9135,0.9362,844705.0
2009-08-03 05:00:00+07:00,0.937,0.9503,0.919,0.9439,725670.0
2009-09-01 05:00:00+07:00,0.9439,0.992,0.934,0.966,932238.0
2009-10-01 05:00:00+07:00,0.9658,0.9971,0.9571,0.9758,1098218.0
2009-11-02 06:00:00+07:00,0.9758,1.009,0.9675,0.9939,1203035.0
2009-12-01 06:00:00+07:00,0.9951,1.004,0.9522,0.9669,1045798.0
2010-01-04 06:00:00+07:00,0.9677,0.9875,0.9397,0.9429,1046148.0
2010-02-01 06:00:00+07:00,0.9419,0.9528,0.9176,0.9308,952482.0
2010-03-01 06:00:00+07:00,0.9307,0.954,0.9184,0.9493,1129799.0
2010-04-01 05:00:00+07:00,0.9493,0.959,0.9158,0.929,1104098.0
2010-05-03 05:00:00+07:00,0.9295,0.9302,0.8562,0.8648,1289655.0
2010-05-31 05:00:00+07:00,0.8646,0.9315,0.8527,0.9295,965390.0
2010-07-01 05:00:00+07:00,0.9292,0.9655,0.9281,0.962,812234.0
2010-08-02 05:00:00+07:00,0.9614,0.9867,0.9421,0.9841,801841.0
2010-09-01 05:00:00+07:00,0.9857,1.0309,0.9737,1.0195,898542.0
2010-10-01 05:00:00+07:00,1.0181,1.0572,1.0074,1.0151,846759.0
2010-11-01 05:00:00+07:00,1.018,1.0476,0.9946,0.9968,930002.0
2010-12-01 06:00:00+07:00,0.9962,1.0762,0.9935,1.0714,835368.0
2011-01-03 06:00:00+07:00,1.0716,1.0738,1.0225,1.0604,848408.0
2011-02-01 06:00:00+07:00,1.0597,1.0833,1.0231,1.0768,1023277.0
2011-03-01 06:00:00+07:00,1.0772,1.1163,1.0672,1.0918,1131962.0
2011-04-01 05:00:00+07:00,1.0891,1.1596,1.071,1.1581,826279.0
2011-05-02 05:00:00+07:00,1.1566,1.1811,1.1177,1.172,923195.0
2011-06-01 05:00:00+07:00,1.1715,1.2091,1.1701,1.1907,962500.0
2011-07-01 05:00:00+07:00,1.1892,1.2746,1.1731,1.2682,935132.0
2011-08-01 05:00:00+07:00,1.2606,1.4167,1.2143,1.243,1087161.0
2011-09-01 05:00:00+07:00,1.2404,1.2978,1.0916,1.1061,579963.0
2011-10-03 05:00:00+07:00,1.1023,1.1682,1.0749,1.146,539261.0
2011-11-01 05:00:00+07:00,1.1419,1.1424,1.0705,1.0956,488304.0
2011-12-01 06:00:00+07:00,1.0947,1.1027,1.0474,1.067,475598.0
2012-01-02 06:00:00+07:00,1.0742,1.0979,1.0431,1.0876,552774.0
2012-02-01 06:00:00+07:00,1.0876,1.12,1.0755,1.1069,767507.0
2012-03-01 06:00:00+07:00,1.1061,1.1111,1.0713,1.1086,932303.0
2012-04-02 05:00:00+07:00,1.1108,1.1119,1.0817,1.1027,864972.0
2012-05-01 05:00:00+07:00,1.1026,1.1065,1.0274,1.03,1138761.0
