time,open,high,low,close,volume
1985-06-03 04:00:00+07:00,0.6635,0.6705,0.6585,0.6685,0.0
1985-07-01 04:00:00+07:00,0.6678,0.7226,0.6662,0.7226,0.0
1985-08-01 04:00:00+07:00,0.716,0.7185,0.6965,0.7015,0.0
1985-09-02 04:00:00+07:00,0.687,0.7195,0.6675,0.702,0.0
1985-10-01 04:00:00+07:00,0.711,0.712,0.6962,0.699,0.0
1985-11-01 05:00:00+07:00,0.6975,0.6975,0.661,0.6859,0.0
1985-12-02 05:00:00+07:00,0.676,0.6853,0.676,0.6818,0.0
1986-01-01 05:00:00+07:00,0.682,0.7151,0.6807,0.7138,0.0
1986-02-03 05:00:00+07:00,0.7048,0.7115,0.6825,0.698,0.0
1986-03-03 05:00:00+07:00,0.697,0.726,0.693,0.714,0.0
1986-04-01 05:00:00+07:00,0.7135,0.7415,0.7105,0.739,0.0
1986-05-01 04:00:00+07:00,0.7385,0.749,0.693,0.7135,0.0
1986-06-02 04:00:00+07:00,0.713,0.713,0.66,0.6745,0.0
1986-07-01 04:00:00+07:00,0.674,0.675,0.592,0.594,0.0
1986-08-01 04:00:00+07:00,0.593,0.642,0.59,0.609,0.0
1986-09-01 04:00:00+07:00,0.6095,0.6335,0.6055,0.627,0.0
1986-10-01 04:00:00+07:00,0.627,0.6485,0.6265,0.6405,0.0
1986-11-03 05:00:00+07:00,0.6395,0.6515,0.637,0.6505,0.0
1986-12-01 05:00:00+07:00,0.6505,0.678,0.648,0.665,0.0
1987-01-01 05:00:00+07:00,0.6666,0.6698,0.6401,0.6623,0.0
1987-02-02 05:00:00+07:00,0.6617,0.6773,0.65,0.6773,0.0
1987-03-02 05:00:00+07:00,0.6793,0.7054,0.678,0.7054,0.0
1987-04-01 05:00:00+07:00,0.7055,0.7265,0.7025,0.7025,0.0
1987-05-01 04:00:00+07:00,0.7025,0.7245,0.7004,0.7126,0.0
1987-06-01 04:00:00+07:00,0.7137,0.7236,0.7137,0.7213,0.0
1987-07-01 04:00:00+07:00,0.721,0.7225,0.6978,0.6988,0.0
1987-08-03 04:00:00+07:00,0.697,0.7163,0.697,0.7149,0.0
1987-09-01 04:00:00+07:00,0.7188,0.7366,0.7087,0.7087,0.0
1987-10-01 04:00:00+07:00,0.7128,0.7275,0.662,0.662,0.0
1987-11-02 05:00:00+07:00,0.6734,0.705,0.67,0.705,0.0
1987-12-01 05:00:00+07:00,0.705,0.723,0.6967,0.723,0.0
1988-01-01 05:00:00+07:00,0.7214,0.7214,0.7019,0.709,0.0
1988-02-01 05:00:00+07:00,0.7106,0.7198,0.707,0.7195,0.0
1988-03-01 05:00:00+07:00,0.7217,0.7426,0.7217,0.7411,0.0
1988-04-01 05:00:00+07:00,0.742,0.7585,0.7382,0.7578,0.0
1988-05-02 04:00:00+07:00,0.7612,0.8095,0.7612,0.8034,0.0
1988-06-01 04:00:00+07:00,0.8112,0.825,0.7828,0.794,0.0
1988-07-01 04:00:00+07:00,0.797,0.8139,0.784,0.805,0.0
1988-08-01 04:00:00+07:00,0.7985,0.8177,0.794,0.8034,0.0
1988-09-01 04:00:00+07:00,0.7941,0.8051,0.778,0.7841,0.0
1988-10-03 04:00:00+07:00,0.7859,0.8259,0.7859,0.8204,0.0
1988-11-01 05:00:00+07:00,0.8222,0.8775,0.821,0.8775,0.0
1988-12-01 05:00:00+07:00,0.872,0.8813,0.8431,0.854,0.0
1989-01-02 05:00:00+07:00,0.8691,0.8883,0.8558,0.8883,0.0
1989-02-01 05:00:00+07:00,0.8921,0.8931,0.797,0.8,0.0
1989-03-01 05:00:00+07:00,0.802,0.8285,0.8018,0.8187,0.0
1989-04-03 04:00:00+07:00,0.8245,0.8245,0.792,0.7943,0.0
1989-05-01 04:00:00+07:00,0.791,0.8005,0.727,0.753,0.0
